Epoch 73: Loss=0.5608, Accuracy=71.4126, Precision=0.7128, F1=0.7123
Epoch 74: Loss=0.5586, Accuracy=71.5352, Precision=0.7139, F1=0.7137
Epoch 75: Loss=0.5600, Accuracy=71.3828, Precision=0.7127, F1=0.7120
Epoch 76: Loss=0.5554, Accuracy=71.5697, Precision=0.7155, F1=0.7148
Epoch 77: Loss=0.5598, Accuracy=71.3368, Precision=0.7121, F1=0.7120
Epoch 78: Loss=0.5545, Accuracy=71.5295, Precision=0.7155, F1=0.7140
Epoch 79: Loss=0.5523, Accuracy=71.5314, Precision=0.7137, F1=0.7136
Epoch 80: Loss=0.5510, Accuracy=71.7758, Precision=0.7181, F1=0.7170
Epoch 81: Loss=0.5488, Accuracy=71.7998, Precision=0.7160, F1=0.7167
Epoch 82: Loss=0.5489, Accuracy=71.7011, Precision=0.7167, F1=0.7149
Epoch 83: Loss=0.5464, Accuracy=71.8535, Precision=0.7178, F1=0.7177
Epoch 84: Loss=0.5451, Accuracy=71.7729, Precision=0.7163, F1=0.7157
Epoch 85: Loss=0.5417, Accuracy=72.1333, Precision=0.7219, F1=0.7202
Epoch 86: Loss=0.5422, Accuracy=72.0020, Precision=0.7195, F1=0.7189
Epoch 87: Loss=0.5421, Accuracy=72.0011, Precision=0.7193, F1=0.7182
Epoch 88: Loss=0.5385, Accuracy=72.0749, Precision=0.7194, F1=0.7195
Epoch 89: Loss=0.5383, Accuracy=72.0519, Precision=0.7206, F1=0.7186
Epoch 90: Loss=0.5393, Accuracy=72.0940, Precision=0.7217, F1=0.7200
Epoch 91: Loss=0.5366, Accuracy=72.2666, Precision=0.7210, F1=0.7207
Epoch 92: Loss=0.5354, Accuracy=72.0193, Precision=0.7202, F1=0.7188
Epoch 93: Loss=0.5340, Accuracy=72.2848, Precision=0.7216, F1=0.7215
Epoch 94: Loss=0.5359, Accuracy=72.2072, Precision=0.7211, F1=0.7206
Epoch 95: Loss=0.5327, Accuracy=72.3500, Precision=0.7236, F1=0.7217
Epoch 96: Loss=0.5314, Accuracy=72.2982, Precision=0.7228, F1=0.7209
Epoch 97: Loss=0.5303, Accuracy=72.3059, Precision=0.7234, F1=0.7225
Epoch 98: Loss=0.5275, Accuracy=72.4746, Precision=0.7229, F1=0.7231
Epoch 99: Loss=0.5280, Accuracy=72.2196, Precision=0.7213, F1=0.7207
Epoch 100: Loss=0.5254, Accuracy=72.4698, Precision=0.7232, F1=0.7231
Epoch 101: Loss=0.5242, Accuracy=72.4985, Precision=0.7248, F1=0.7237
Epoch 102: Loss=0.5264, Accuracy=72.4554, Precision=0.7254, F1=0.7230
Epoch 103: Loss=0.5240, Accuracy=72.4640, Precision=0.7239, F1=0.7226
