Epoch 73: Loss=0.4892, Accuracy=73.7739, Precision=0.7415, F1=0.7330
Epoch 74: Loss=0.4897, Accuracy=73.7605, Precision=0.7372, F1=0.7348
Epoch 75: Loss=0.4875, Accuracy=73.9685, Precision=0.7420, F1=0.7396
Epoch 76: Loss=0.4934, Accuracy=73.6196, Precision=0.7403, F1=0.7302
Epoch 77: Loss=0.4890, Accuracy=73.6397, Precision=0.7371, F1=0.7321
Epoch 78: Loss=0.4847, Accuracy=73.8209, Precision=0.7397, F1=0.7334
Epoch 79: Loss=0.4857, Accuracy=73.5928, Precision=0.7412, F1=0.7317
Epoch 80: Loss=0.4771, Accuracy=73.8007, Precision=0.7327, F1=0.7332
Epoch 81: Loss=0.4804, Accuracy=73.9215, Precision=0.7523, F1=0.7373
Epoch 82: Loss=0.4813, Accuracy=73.2976, Precision=0.7309, F1=0.7304
Epoch 83: Loss=0.4775, Accuracy=73.9953, Precision=0.7461, F1=0.7358
Epoch 84: Loss=0.4762, Accuracy=74.0490, Precision=0.7415, F1=0.7349
Epoch 85: Loss=0.4759, Accuracy=73.9752, Precision=0.7371, F1=0.7365
Epoch 86: Loss=0.4764, Accuracy=74.1362, Precision=0.7434, F1=0.7390
Epoch 87: Loss=0.4764, Accuracy=73.8343, Precision=0.7389, F1=0.7352
Epoch 88: Loss=0.4709, Accuracy=74.4314, Precision=0.7485, F1=0.7411
Epoch 89: Loss=0.4759, Accuracy=73.8477, Precision=0.7386, F1=0.7338
Epoch 90: Loss=0.4729, Accuracy=74.4448, Precision=0.7444, F1=0.7400
Epoch 91: Loss=0.4711, Accuracy=74.0691, Precision=0.7380, F1=0.7357
Epoch 92: Loss=0.4734, Accuracy=74.2905, Precision=0.7499, F1=0.7406
Epoch 93: Loss=0.4697, Accuracy=74.5119, Precision=0.7521, F1=0.7427
Epoch 94: Loss=0.4709, Accuracy=73.9819, Precision=0.7494, F1=0.7356
Epoch 95: Loss=0.4654, Accuracy=74.1027, Precision=0.7488, F1=0.7386
Epoch 96: Loss=0.4628, Accuracy=74.9748, Precision=0.7507, F1=0.7491
Epoch 97: Loss=0.4684, Accuracy=74.0356, Precision=0.7378, F1=0.7365
Epoch 98: Loss=0.4659, Accuracy=74.3308, Precision=0.7466, F1=0.7411
Epoch 99: Loss=0.4633, Accuracy=74.3911, Precision=0.7489, F1=0.7380
Epoch 100: Loss=0.4647, Accuracy=74.5186, Precision=0.7453, F1=0.7417
Epoch 101: Loss=0.4650, Accuracy=73.9618, Precision=0.7454, F1=0.7393
Epoch 102: Loss=0.4629, Accuracy=74.3777, Precision=0.7412, F1=0.7395
Epoch 103: Loss=0.4613, Accuracy=74.5924, Precision=0.7455, F1=0.7464
Epoch 104: Loss=0.4603, Accuracy=74.8876, Precision=0.7512, F1=0.7456
Epoch 105: Loss=0.4584, Accuracy=74.9010, Precision=0.7462, F1=0.7427
Epoch 106: Loss=0.4606, Accuracy=74.5589, Precision=0.7489, F1=0.7428
Epoch 107: Loss=0.4581, Accuracy=74.8272, Precision=0.7463, F1=0.7453
Epoch 108: Loss=0.4589, Accuracy=74.6528, Precision=0.7471, F1=0.7434
Epoch 109: Loss=0.4563, Accuracy=75.2432, Precision=0.7580, F1=0.7505
Epoch 110: Loss=0.4566, Accuracy=74.8675, Precision=0.7500, F1=0.7469
Epoch 111: Loss=0.4581, Accuracy=74.4985, Precision=0.7511, F1=0.7433
Epoch 112: Loss=0.4543, Accuracy=74.9614, Precision=0.7548, F1=0.7467
Epoch 113: Loss=0.4568, Accuracy=74.8272, Precision=0.7429, F1=0.7444
Epoch 114: Loss=0.4542, Accuracy=74.8809, Precision=0.7534, F1=0.7457
Epoch 115: Loss=0.4565, Accuracy=74.5455, Precision=0.7455, F1=0.7409
Epoch 116: Loss=0.4502, Accuracy=75.0889, Precision=0.7525, F1=0.7462
Epoch 117: Loss=0.4519, Accuracy=75.5384, Precision=0.7511, F1=0.7485
Epoch 118: Loss=0.4535, Accuracy=74.6461, Precision=0.7490, F1=0.7446
Epoch 119: Loss=0.4548, Accuracy=74.8071, Precision=0.7460, F1=0.7437
Epoch 120: Loss=0.4499, Accuracy=74.8205, Precision=0.7473, F1=0.7444
Epoch 121: Loss=0.4506, Accuracy=75.0017, Precision=0.7518, F1=0.7448
Epoch 122: Loss=0.4473, Accuracy=75.0956, Precision=0.7522, F1=0.7486
Epoch 123: Loss=0.4468, Accuracy=75.1359, Precision=0.7529, F1=0.7476
Epoch 124: Loss=0.4462, Accuracy=74.9413, Precision=0.7465, F1=0.7460
Epoch 125: Loss=0.4489, Accuracy=75.0419, Precision=0.7539, F1=0.7419
Epoch 126: Loss=0.4475, Accuracy=75.0151, Precision=0.7468, F1=0.7436
Epoch 127: Loss=0.4456, Accuracy=75.0889, Precision=0.7536, F1=0.7450
Epoch 128: Loss=0.4438, Accuracy=75.2298, Precision=0.7480, F1=0.7457
Epoch 129: Loss=0.4460, Accuracy=74.9748, Precision=0.7485, F1=0.7438
Epoch 130: Loss=0.4462, Accuracy=75.3438, Precision=0.7581, F1=0.7518
Epoch 131: Loss=0.4438, Accuracy=75.2298, Precision=0.7527, F1=0.7456
Epoch 132: Loss=0.4463, Accuracy=74.6662, Precision=0.7487, F1=0.7441
Epoch 133: Loss=0.4439, Accuracy=75.3774, Precision=0.7545, F1=0.7510
Epoch 134: Loss=0.4478, Accuracy=74.8004, Precision=0.7484, F1=0.7436
Epoch 135: Loss=0.4417, Accuracy=75.0688, Precision=0.7459, F1=0.7452
Epoch 136: Loss=0.4418, Accuracy=75.3304, Precision=0.7550, F1=0.7503
Epoch 137: Loss=0.4404, Accuracy=75.5720, Precision=0.7592, F1=0.7513
Epoch 138: Loss=0.4402, Accuracy=75.1224, Precision=0.7533, F1=0.7476
Epoch 139: Loss=0.4431, Accuracy=74.8809, Precision=0.7508, F1=0.7428
Epoch 140: Loss=0.4431, Accuracy=75.1895, Precision=0.7548, F1=0.7464
Epoch 141: Loss=0.4415, Accuracy=75.2700, Precision=0.7509, F1=0.7500
Epoch 142: Loss=0.4434, Accuracy=75.1426, Precision=0.7492, F1=0.7434
Epoch 143: Loss=0.4385, Accuracy=75.2432, Precision=0.7544, F1=0.7461
Epoch 144: Loss=0.4395, Accuracy=75.1627, Precision=0.7593, F1=0.7495
Epoch 145: Loss=0.4398, Accuracy=75.0554, Precision=0.7478, F1=0.7419
Epoch 146: Loss=0.4394, Accuracy=75.5116, Precision=0.7564, F1=0.7499
Epoch 147: Loss=0.4380, Accuracy=75.3707, Precision=0.7560, F1=0.7494
Epoch 148: Loss=0.4386, Accuracy=75.5921, Precision=0.7539, F1=0.7494
Epoch 149: Loss=0.4387, Accuracy=75.4713, Precision=0.7561, F1=0.7493
Epoch 150: Loss=0.4353, Accuracy=75.4579, Precision=0.7566, F1=0.7516
Epoch 151: Loss=0.4401, Accuracy=75.4378, Precision=0.7550, F1=0.7535
Epoch 152: Loss=0.4346, Accuracy=75.4982, Precision=0.7597, F1=0.7507
Epoch 153: Loss=0.4363, Accuracy=75.5787, Precision=0.7559, F1=0.7518
Epoch 154: Loss=0.4386, Accuracy=75.4780, Precision=0.7588, F1=0.7505
Epoch 155: Loss=0.4361, Accuracy=75.7464, Precision=0.7569, F1=0.7556
Epoch 156: Loss=0.4382, Accuracy=75.2097, Precision=0.7624, F1=0.7471
Epoch 157: Loss=0.4325, Accuracy=75.7934, Precision=0.7576, F1=0.7544
Epoch 158: Loss=0.4368, Accuracy=75.6659, Precision=0.7609, F1=0.7508
Epoch 159: Loss=0.4364, Accuracy=75.4579, Precision=0.7581, F1=0.7468
Epoch 160: Loss=0.4349, Accuracy=75.2768, Precision=0.7533, F1=0.7497
Epoch 161: Loss=0.4365, Accuracy=75.1426, Precision=0.7570, F1=0.7491
Epoch 162: Loss=0.4329, Accuracy=75.1828, Precision=0.7581, F1=0.7505
Epoch 163: Loss=0.4340, Accuracy=75.3304, Precision=0.7562, F1=0.7477
Epoch 164: Loss=0.4315, Accuracy=75.4512, Precision=0.7561, F1=0.7486
Epoch 165: Loss=0.4330, Accuracy=75.7531, Precision=0.7568, F1=0.7526
Epoch 166: Loss=0.4308, Accuracy=75.7665, Precision=0.7628, F1=0.7517
Epoch 167: Loss=0.4313, Accuracy=75.4780, Precision=0.7601, F1=0.7522
Epoch 168: Loss=0.4318, Accuracy=75.2633, Precision=0.7511, F1=0.7479
Epoch 169: Loss=0.4339, Accuracy=75.3908, Precision=0.7562, F1=0.7519
Epoch 170: Loss=0.4325, Accuracy=75.4244, Precision=0.7598, F1=0.7515
Epoch 171: Loss=0.4311, Accuracy=75.6592, Precision=0.7603, F1=0.7570
Epoch 172: Loss=0.4326, Accuracy=75.6592, Precision=0.7584, F1=0.7496
Epoch 173: Loss=0.4357, Accuracy=75.5787, Precision=0.7589, F1=0.7505
Epoch 174: Loss=0.4342, Accuracy=75.0889, Precision=0.7542, F1=0.7503
Epoch 175: Loss=0.4341, Accuracy=75.1157, Precision=0.7587, F1=0.7433
Epoch 176: Loss=0.4304, Accuracy=75.8269, Precision=0.7652, F1=0.7515
Epoch 177: Loss=0.4310, Accuracy=75.7598, Precision=0.7610, F1=0.7522
Epoch 178: Loss=0.4309, Accuracy=75.5451, Precision=0.7522, F1=0.7502
Epoch 179: Loss=0.4303, Accuracy=75.8068, Precision=0.7572, F1=0.7540
Epoch 180: Loss=0.4315, Accuracy=75.3573, Precision=0.7600, F1=0.7494
Epoch 181: Loss=0.4280, Accuracy=75.1560, Precision=0.7566, F1=0.7485
Epoch 182: Loss=0.4293, Accuracy=75.7665, Precision=0.7624, F1=0.7544
Epoch 183: Loss=0.4305, Accuracy=75.5116, Precision=0.7549, F1=0.7509
Epoch 184: Loss=0.4301, Accuracy=75.5787, Precision=0.7565, F1=0.7516
Epoch 185: Loss=0.4284, Accuracy=76.1892, Precision=0.7662, F1=0.7593
Epoch 186: Loss=0.4263, Accuracy=75.5518, Precision=0.7580, F1=0.7502
Epoch 187: Loss=0.4292, Accuracy=75.8202, Precision=0.7614, F1=0.7528
Epoch 188: Loss=0.4315, Accuracy=75.3438, Precision=0.7635, F1=0.7531
Epoch 189: Loss=0.4284, Accuracy=75.8336, Precision=0.7647, F1=0.7556
Epoch 190: Loss=0.4286, Accuracy=75.6122, Precision=0.7617, F1=0.7528
Epoch 191: Loss=0.4282, Accuracy=75.6994, Precision=0.7535, F1=0.7522
Epoch 192: Loss=0.4266, Accuracy=75.4982, Precision=0.7612, F1=0.7488
Epoch 193: Loss=0.4276, Accuracy=75.6189, Precision=0.7561, F1=0.7494
Epoch 194: Loss=0.4284, Accuracy=75.9074, Precision=0.7690, F1=0.7583
Epoch 195: Loss=0.4254, Accuracy=75.5652, Precision=0.7550, F1=0.7504
Epoch 196: Loss=0.4287, Accuracy=75.7598, Precision=0.7664, F1=0.7547
Epoch 197: Loss=0.4270, Accuracy=75.9879, Precision=0.7623, F1=0.7566
Epoch 198: Loss=0.4274, Accuracy=75.9879, Precision=0.7600, F1=0.7545
Epoch 199: Loss=0.4248, Accuracy=75.9477, Precision=0.7603, F1=0.7566
Epoch 200: Loss=0.4253, Accuracy=75.9141, Precision=0.7654, F1=0.7538
Epoch 201: Loss=0.4264, Accuracy=75.5116, Precision=0.7574, F1=0.7511
Epoch 202: Loss=0.4236, Accuracy=75.7598, Precision=0.7644, F1=0.7524
Epoch 203: Loss=0.4236, Accuracy=75.5451, Precision=0.7639, F1=0.7530
Epoch 204: Loss=0.4250, Accuracy=75.7598, Precision=0.7621, F1=0.7539
Epoch 205: Loss=0.4267, Accuracy=75.6659, Precision=0.7554, F1=0.7530
Epoch 206: Loss=0.4242, Accuracy=75.4042, Precision=0.7554, F1=0.7491
Epoch 207: Loss=0.4252, Accuracy=75.8604, Precision=0.7617, F1=0.7544
Epoch 208: Loss=0.4269, Accuracy=75.8672, Precision=0.7638, F1=0.7545
Epoch 209: Loss=0.4248, Accuracy=75.8336, Precision=0.7597, F1=0.7553
Epoch 210: Loss=0.4264, Accuracy=75.6592, Precision=0.7626, F1=0.7545
Epoch 211: Loss=0.4260, Accuracy=75.8739, Precision=0.7608, F1=0.7551
Epoch 212: Loss=0.4237, Accuracy=75.8403, Precision=0.7588, F1=0.7544
Epoch 213: Loss=0.4258, Accuracy=75.5854, Precision=0.7532, F1=0.7502
Epoch 214: Loss=0.4250, Accuracy=75.6525, Precision=0.7569, F1=0.7524
Epoch 215: Loss=0.4256, Accuracy=75.4646, Precision=0.7579, F1=0.7510
Epoch 216: Loss=0.4240, Accuracy=75.5451, Precision=0.7574, F1=0.7502
Epoch 217: Loss=0.4222, Accuracy=75.7397, Precision=0.7598, F1=0.7545
Epoch 218: Loss=0.4240, Accuracy=75.8940, Precision=0.7639, F1=0.7526
Epoch 219: Loss=0.4225, Accuracy=76.0819, Precision=0.7654, F1=0.7521
Epoch 220: Loss=0.4249, Accuracy=75.5384, Precision=0.7588, F1=0.7516
Epoch 221: Loss=0.4244, Accuracy=76.1221, Precision=0.7632, F1=0.7593
Epoch 222: Loss=0.4226, Accuracy=75.9477, Precision=0.7645, F1=0.7539
Epoch 223: Loss=0.4243, Accuracy=75.5518, Precision=0.7582, F1=0.7505
Epoch 224: Loss=0.4238, Accuracy=76.0081, Precision=0.7656, F1=0.7572
Epoch 225: Loss=0.4243, Accuracy=75.6927, Precision=0.7562, F1=0.7564
Epoch 226: Loss=0.4216, Accuracy=75.6323, Precision=0.7581, F1=0.7546
Epoch 227: Loss=0.4212, Accuracy=75.9544, Precision=0.7668, F1=0.7564
Epoch 228: Loss=0.4234, Accuracy=75.6390, Precision=0.7613, F1=0.7498
Epoch 229: Loss=0.4247, Accuracy=75.3506, Precision=0.7546, F1=0.7482
Epoch 230: Loss=0.4231, Accuracy=76.0282, Precision=0.7672, F1=0.7565
Epoch 231: Loss=0.4205, Accuracy=75.7196, Precision=0.7552, F1=0.7514
Epoch 232: Loss=0.4204, Accuracy=76.1087, Precision=0.7572, F1=0.7554
Epoch 233: Loss=0.4286, Accuracy=75.2969, Precision=0.7533, F1=0.7459
Epoch 234: Loss=0.4212, Accuracy=75.6055, Precision=0.7543, F1=0.7512
Epoch 235: Loss=0.4249, Accuracy=75.4176, Precision=0.7573, F1=0.7504
Epoch 236: Loss=0.4215, Accuracy=75.9678, Precision=0.7644, F1=0.7566
Epoch 237: Loss=0.4233, Accuracy=75.6659, Precision=0.7652, F1=0.7504
Epoch 238: Loss=0.4219, Accuracy=76.2898, Precision=0.7729, F1=0.7558
Epoch 239: Loss=0.4212, Accuracy=75.6994, Precision=0.7551, F1=0.7556
Epoch 240: Loss=0.4215, Accuracy=75.8336, Precision=0.7632, F1=0.7531
Epoch 241: Loss=0.4226, Accuracy=75.8068, Precision=0.7644, F1=0.7564
Epoch 242: Loss=0.4226, Accuracy=75.8873, Precision=0.7603, F1=0.7548
Epoch 243: Loss=0.4190, Accuracy=75.8403, Precision=0.7656, F1=0.7554
Epoch 244: Loss=0.4193, Accuracy=75.9343, Precision=0.7594, F1=0.7559
Epoch 245: Loss=0.4185, Accuracy=75.6994, Precision=0.7568, F1=0.7522
Epoch 246: Loss=0.4203, Accuracy=75.7397, Precision=0.7559, F1=0.7520
Epoch 247: Loss=0.4194, Accuracy=76.2093, Precision=0.7672, F1=0.7594
Epoch 248: Loss=0.4188, Accuracy=75.8537, Precision=0.7634, F1=0.7540
Epoch 249: Loss=0.4214, Accuracy=75.9275, Precision=0.7790, F1=0.7518
Epoch 250: Loss=0.4199, Accuracy=75.9946, Precision=0.7589, F1=0.7536
Epoch 251: Loss=0.4195, Accuracy=75.9745, Precision=0.7573, F1=0.7557
Epoch 252: Loss=0.4188, Accuracy=75.8672, Precision=0.7619, F1=0.7560
Epoch 253: Loss=0.4218, Accuracy=76.0886, Precision=0.7602, F1=0.7576
Epoch 254: Loss=0.4229, Accuracy=75.7866, Precision=0.7564, F1=0.7551
Epoch 255: Loss=0.4213, Accuracy=75.8537, Precision=0.7617, F1=0.7522
Epoch 256: Loss=0.4183, Accuracy=76.0751, Precision=0.7598, F1=0.7573
Epoch 257: Loss=0.4211, Accuracy=75.6927, Precision=0.7624, F1=0.7545
Epoch 258: Loss=0.4200, Accuracy=75.8672, Precision=0.7600, F1=0.7557
Epoch 259: Loss=0.4186, Accuracy=75.7934, Precision=0.7605, F1=0.7543
Epoch 260: Loss=0.4191, Accuracy=76.0013, Precision=0.7585, F1=0.7563
Epoch 261: Loss=0.4191, Accuracy=75.6927, Precision=0.7576, F1=0.7533
Epoch 262: Loss=0.4201, Accuracy=75.9343, Precision=0.7619, F1=0.7547
Epoch 263: Loss=0.4199, Accuracy=75.7866, Precision=0.7571, F1=0.7515
Epoch 264: Loss=0.4175, Accuracy=76.0483, Precision=0.7629, F1=0.7583
Epoch 265: Loss=0.4198, Accuracy=75.6659, Precision=0.7545, F1=0.7502
Epoch 266: Loss=0.4178, Accuracy=76.0148, Precision=0.7597, F1=0.7562
Epoch 267: Loss=0.4179, Accuracy=76.2093, Precision=0.7662, F1=0.7597
Epoch 268: Loss=0.4179, Accuracy=76.0148, Precision=0.7598, F1=0.7575
Epoch 269: Loss=0.4157, Accuracy=75.8470, Precision=0.7612, F1=0.7551
Epoch 270: Loss=0.4168, Accuracy=75.9208, Precision=0.7574, F1=0.7539
Epoch 271: Loss=0.4173, Accuracy=76.1154, Precision=0.7700, F1=0.7552
Epoch 272: Loss=0.4178, Accuracy=75.5116, Precision=0.7598, F1=0.7518
Epoch 273: Loss=0.4176, Accuracy=76.0282, Precision=0.7650, F1=0.7529
Epoch 274: Loss=0.4176, Accuracy=76.1422, Precision=0.7711, F1=0.7562
Epoch 275: Loss=0.4210, Accuracy=75.6458, Precision=0.7571, F1=0.7542
Epoch 276: Loss=0.4189, Accuracy=76.2429, Precision=0.7689, F1=0.7586
Epoch 277: Loss=0.4192, Accuracy=75.9879, Precision=0.7608, F1=0.7534
Epoch 278: Loss=0.4185, Accuracy=75.7665, Precision=0.7579, F1=0.7540
Epoch 279: Loss=0.4171, Accuracy=75.8940, Precision=0.7571, F1=0.7541
Epoch 280: Loss=0.4201, Accuracy=75.6055, Precision=0.7540, F1=0.7530
Epoch 281: Loss=0.4144, Accuracy=76.3033, Precision=0.7657, F1=0.7606
Epoch 282: Loss=0.4136, Accuracy=76.0886, Precision=0.7698, F1=0.7587
Epoch 283: Loss=0.4190, Accuracy=76.0886, Precision=0.7698, F1=0.7543
